original,status,successor,search_query,notes,Found,Match_Count,Match1_Name,Match1_CERT,Match1_RSSD,Match1_Status,Match1_Asset,Match1_State,Match1_Address,Match1_City,Match1_Zip,Match1_SimScore,Match2_Name,Match2_CERT,Match2_RSSD,Match2_Status,Match2_Asset,Match2_State,Match2_Address,Match2_City,Match2_Zip,Match2_SimScore
Provident Bank,Active,Provident Bank,Provident*Bank*,"Input 'Provident Bank' clean, active.",True,2,Provident Bank,12010,204004,Active,24840140.0,NJ,239 Washington St,Jersey City,07302,1.00,"Provident Savings Bank, F.S.B.",30879,631570,Active,1230789.0,CA,6570 Magnolia Ave,Riverside,92506,0.70
RCB Bank,Active,RCB Bank,RCB*Bank*,"Input 'RCB Bank Ltd' cleaned (removed Ltd), active.",True,1,RCB Bank,15399,945053,Active,3887084.0,OK,300 W Patti Page Blvd,Claremore,74017,1.00,,,,,,,,,,
Rabobank,Active,Rabobank,Rabobank*,"Input 'Rabobank NA' cleaned (removed NA), active.",True,1,"Rabobank, National Association",23364,877369,Inactive,13189919.0,CA,"915 Highland Pointe Drive, Suite 350",Roseville,95678,0.47,,,,,,,,,,
Raymond James Bank,Active,Raymond James Bank,Raymond*James*Bank*,"Input 'Raymond James Bank FSB' cleaned (removed FSB), active.",True,1,Raymond James Bank,33893,2193616,Active,42857360.0,FL,710 Carillon Pkwy,Saint Petersburg,33716,1.00,,,,,,,,,,
Raymond James Bank,Active,Raymond James Bank,Raymond*James*Bank*,"Input 'Raymond James Bank NA' cleaned (removed NA), active.",True,1,Raymond James Bank,33893,2193616,Active,42857360.0,FL,710 Carillon Pkwy,Saint Petersburg,33716,1.00,,,,,,,,,,
Red River Bank,Active,Red River Bank,Red*River*Bank*,"Input 'Red River Bank' clean, active.",True,2,Red River Bank,34980,2743244,Active,3213295.0,LA,1412 Centre Ct,Alexandria,71301,1.00,Red River State Bank,15820,1005655,Active,116780.0,MN,300 2nd Ave W,Halstad,56548,0.82
Regions Bank,Active,Regions Bank,Regions*Bank*,"Input 'Regions' expanded to 'Regions Bank', active.",True,10,Regions Bank,12368,233031,Active,158598000.0,AL,1900 5th Ave N,Birmingham,35203,1.00,Regions Bank,26976,1217533,Inactive,3521230.0,GA,"111 Green Street, S.E.",Gainesville,30501,1.00
Regions Bank,Active,Regions Bank,Regions*Bank*,"Input 'Regions Bank' clean, active.",True,10,Regions Bank,12368,233031,Active,158598000.0,AL,1900 5th Ave N,Birmingham,35203,1.00,Regions Bank,26976,1217533,Inactive,3521230.0,GA,"111 Green Street, S.E.",Gainesville,30501,1.00
Renasant Bank,Active,Renasant Bank,Renasant*Bank*,"Input 'Renasant Bank' clean, active.",True,2,Renasant Bank,12437,749242,Active,26722596.0,MS,209 Troy St,Tupelo,38804,1.00,Renasant Bank of Tennessee,35132,2789457,Inactive,269753.0,TN,2177 Germantown,Germantown,38138,0.67
Renasant Bank,Active,Renasant Bank,Renasant*Bank*,"Input 'Renesant Bank' corrected to 'Renasant Bank', active.",True,2,Renasant Bank,12437,749242,Active,26722596.0,MS,209 Troy St,Tupelo,38804,1.00,Renasant Bank of Tennessee,35132,2789457,Inactive,269753.0,TN,2177 Germantown,Germantown,38138,0.67
IQ Credit Union,Active,IQ Credit Union,IQ*Credit*Union*,Input 'IQ Credit Union' no corrections. Active credit union.,False,0,,,,,,,,,,,,,,,,,,,,
IberiaBank,Acquired,First Horizon Bank,(IberiaBank* OR First*Horizon*Bank*),Input 'IberiaBank' no corrections. Acquired 2020 by First Horizon.,True,3,Iberiabank,28100,808176,Inactive,34581511.0,LA,200 West Congress Street,Lafayette,70501,1.00,First Horizon Bank,4977,485559,Active,82886598.0,TN,165 Madison Ave,Memphis,38103,0.50
Independent Bank,Active,Independent Bank,Independent*Bank*,Input 'Independent Bank (TIB)' cleaned (removed nickname). Active.,True,4,Independent Bank,27811,636771,Active,5486851.0,MI,4200 E Beltline Ave Ne,Grand Rapids,49525,1.00,Independent Bank,34728,2666400,Active,1728890.0,TN,5050 Poplar Avenue,Memphis,38157,1.00
Independent Bank,Active,Independent Bank,Independent*Bank*,Input 'Independent Bank Corp' cleaned (removed Corp.). Active parent of Rockland Trust.,True,4,Independent Bank,27811,636771,Active,5486851.0,MI,4200 E Beltline Ave Ne,Grand Rapids,49525,1.00,Independent Bank,34728,2666400,Active,1728890.0,TN,5050 Poplar Avenue,Memphis,38157,1.00
Independent Bankshares,Active,Independent Bankshares,Independent*Bankshares*,Input 'Independent Bankshares' no corrections. Active bank holding company.,False,0,,,,,,,,,,,,,,,,,,,,
Inland Bank,Acquired,Old National Bank,(Inland*Bank* OR Old*National*Bank*),Input 'Inland Bank' no corrections. Acquired 2019 (First Midwest) → merged into Old National 2021.,True,3,Old National Bank,3832,208244,Active,70996954.0,IN,1 Main St,Evansville,47708,0.64,Old Second National Bank,3603,936136,Active,6981757.0,IL,37 S River St,Aurora,60506,0.50
International Bank of Commerce,Acquired,Texas Capital Bank,(International*Bank*of*Commerce* OR Texas*Capital*Bank*),Input 'International Bank of Commerce' no corrections. Acquired 2021 by Texas Capital.,True,5,International Bank of Commerce,19629,1001152,Active,9847078.0,TX,1200 San Bernardo Ave,Laredo,78040,1.00,Texas Capital Bank,34383,2618780,Active,32246474.0,TX,2000 Mckinney Ave,Dallas,75201,0.49
Intesa Sanpaolo SpA New York,Active,Intesa Sanpaolo SpA New York,Intesa*Sanpaolo*SpA*New*York*,Input 'Intesa Sanpaolo SpA New York Branch' cleaned (removed Branch). Active foreign branch.,False,0,,,,,,,,,,,,,,,,,,,,
Intrust Bank,Active,Intrust Bank,Intrust*Bank*,Input 'Intrust Bank' no corrections. Active Kansas regional bank.,True,5,Intrust Bank,17363,611657,Inactive,43058.0,KS,142 North Ash Street,Valley Center,67147,1.00,"Intrust Bank, National Association",4799,557858,Active,6804229.0,KS,105 N Main St,Wichita,67202,0.57
Investors Bank & Trust,Acquired,State Street,(Investors*Bank*&*Trust* OR State*Street*),Input 'Investors Bank & Trust Co' cleaned (removed Co.). Acquired 2010 by State Street.,True,2,State Street Bank and Trust Company,14,35301,Active,366079000.0,MA,One Congress Street,Boston,02114,0.62,State Street Bank and Trust Company,14857,352745,Active,340506.0,IL,801 State St,Quincy,62301,0.62
Israel Discount Bank of New York,Active,Israel Discount Bank of New York,Israel*Discount*Bank*of*New*York*,Input cleaned (removed Inc. and [IDBNY]). Active foreign branch.,True,1,Israel Discount Bank of New York,19977,320119,Active,14419007.0,NY,1114 Avenue Of The Americas,New York,10036,1.00,,,,,,,,,,
JPMorgan Chase,Active,JPMorgan Chase,JPMorgan*Chase*,Input 'JP Morgan' expanded to JPMorgan Chase. Active.,True,2,"JPMorgan Chase Bank, Dearborn",21761,651448,Active,69891.0,MI,18800 Hubbard Dr,Dearborn,48126,0.67,"JPMorgan Chase Bank, National Association",628,852218,Active,3813431000.0,OH,1111 Polaris Pkwy,Columbus,43240,0.55
JPMorgan Chase,Active,JPMorgan Chase,JPMorgan*Chase*,Input 'JP Morgan Chase' standardized to JPMorgan Chase. Active.,True,2,"JPMorgan Chase Bank, Dearborn",21761,651448,Active,69891.0,MI,18800 Hubbard Dr,Dearborn,48126,0.67,"JPMorgan Chase Bank, National Association",628,852218,Active,3813431000.0,OH,1111 Polaris Pkwy,Columbus,43240,0.55
JPMorgan Chase,Active,JPMorgan Chase,JPMorgan*Chase*,Input 'JP Morgan Chase & Co' cleaned (removed & Co.) → standardized. Active.,True,2,"JPMorgan Chase Bank, Dearborn",21761,651448,Active,69891.0,MI,18800 Hubbard Dr,Dearborn,48126,0.67,"JPMorgan Chase Bank, National Association",628,852218,Active,3813431000.0,OH,1111 Polaris Pkwy,Columbus,43240,0.55
JPMorgan Chase Bank,Active,JPMorgan Chase Bank,JPMorgan*Chase*Bank*,Input 'JP Morgan Chase Bank NA' cleaned (removed NA) → standardized. Active.,True,2,"JPMorgan Chase Bank, Dearborn",21761,651448,Active,69891.0,MI,18800 Hubbard Dr,Dearborn,48126,0.81,"JPMorgan Chase Bank, National Association",628,852218,Active,3813431000.0,OH,1111 Polaris Pkwy,Columbus,43240,0.68
JPMorgan Chase Bank,Active,JPMorgan Chase Bank,JPMorgan*Chase*Bank*,Input 'JPMorgan Chase Bank' no corrections. Active.,True,2,"JPMorgan Chase Bank, Dearborn",21761,651448,Active,69891.0,MI,18800 Hubbard Dr,Dearborn,48126,0.81,"JPMorgan Chase Bank, National Association",628,852218,Active,3813431000.0,OH,1111 Polaris Pkwy,Columbus,43240,0.68
JPMorgan Chase Bank,Active,JPMorgan Chase Bank,JPMorgan*Chase*Bank*,Input cleaned (removed National Association). Active.,True,2,"JPMorgan Chase Bank, Dearborn",21761,651448,Active,69891.0,MI,18800 Hubbard Dr,Dearborn,48126,0.81,"JPMorgan Chase Bank, National Association",628,852218,Active,3813431000.0,OH,1111 Polaris Pkwy,Columbus,43240,0.68
Johnson Bank,Acquired,Old National Bank,(Johnson*Bank* OR Old*National*Bank*),Input 'Johnson Bank NA' cleaned (removed NA). Acquired 2021 by Old National.,True,6,Johnson Bank,20296,58243,Active,7069263.0,WI,555 Main St,Racine,53403,1.00,Old National Bank,3832,208244,Active,70996954.0,IN,1 Main St,Evansville,47708,0.62
KeyBank,Active,KeyBank,KeyBank*,Input 'Key Bank NA' cleaned (removed NA) → standardized to KeyBank. Active.,True,10,KeyBank National Association,17534,280110,Active,184694965.0,OH,127 Public Sq,Cleveland,44114,0.44,KeyBank National Association,11979,43379,Inactive,8098878.0,WA,1119 Pacific Avenue,Tacoma,98401,0.44
KeyBank,Active,KeyBank,KeyBank*,Input 'KeyBank' no corrections. Active.,True,10,KeyBank National Association,17534,280110,Active,184694965.0,OH,127 Public Sq,Cleveland,44114,0.44,KeyBank National Association,11979,43379,Inactive,8098878.0,WA,1119 Pacific Avenue,Tacoma,98401,0.44
Hancock Bank,Acquired,Hancock Whitney Bank,(Hancock*Bank* OR Hancock*Whitney*Bank*),Input 'Hancock Bank'—merged into Hancock Whitney Bank (active).,True,2,Hancock Whitney Bank,12441,463735,Active,35747114.0,MS,2510 14th St,Gulfport,39501,0.75,"Hancock County Savings Bank, F.S.B.",29035,888271,Active,481808.0,WV,351 Carolina Ave,Chester,26034,0.60
Hancock Whitney Bank,Active,Hancock Whitney Bank,Hancock*Whitney*Bank*,Active regional bank.,True,1,Hancock Whitney Bank,12441,463735,Active,35747114.0,MS,2510 14th St,Gulfport,39501,1.00,,,,,,,,,,
Hanmi Bank,Active,Hanmi Bank,Hanmi*Bank*,Active FDIC-insured Korean-American bank.,True,1,Hanmi Bank,24170,657365,Active,7811870.0,CA,3660 Wilshire Blvd Ste Ph-A,Los Angeles,90010,1.00,,,,,,,,,,
Heartland Bank,Active,Heartland Bank,Heartland*Bank*,Active FDIC-insured community bank.,True,5,Heartland Bank,14809,604547,Active,265198.0,IA,615 6th Ave,Somers,50586,1.00,Heartland Bank and Trust Company,20369,426534,Active,5032013.0,IL,401 N Hershey Rd,Bloomington,61704,0.74
Heartland Financial USA,Active,Heartland Financial USA,Heartland*Financial*USA*,Input 'Heartland Financial USA Inc'—cleaned (removed Inc). Active holding company.,False,0,,,,,,,,,,,,,,,,,,,,
Heritage Bank State Savings Bank,Active,Heritage Bank State Savings Bank,Heritage*Bank*State*Savings*Bank*,Input 'Heritage Bank SSB'—expanded SSB to State Savings Bank. Active FDIC-insured bank.,False,0,,,,,,,,,,,,,,,,,,,,
Hickory Point Bank & Trust,Active,Hickory Point Bank & Trust,Hickory*Point*Bank*&*Trust*,Active FDIC-insured community bank.,True,1,Hickory Point Bank and Trust,22874,550635,Active,721087.0,IL,225 N Water St,Decatur,62523,0.94,,,,,,,,,,
High Plains Farm Credit Agricultural Credit Association,Active,High Plains Farm Credit Agricultural Credit Association,High*Plains*Farm*Credit*Agricultural*Credit*Association*,Input 'High Plains Farm Credit ACA'—expanded ACA to Agricultural Credit Association. Active farm credit entity.,False,0,,,,,,,,,,,,,,,,,,,,
Highland Bank,Active,Highland Bank,Highland*Bank*,Active FDIC-insured regional bank.,True,3,Highland Bank,16111,764058,Active,778976.0,MN,2100 Ford Pkwy,Saint Paul,55116,1.00,Highlands Community Bank,57420,3125315,Active,189282.0,VA,307 Thacker Ave,Covington,24426,0.76
Hinsdale Bank,Active,Hinsdale Bank,Hinsdale*Bank*,Active FDIC-insured community bank in Illinois.,True,1,"Hinsdale Bank & Trust Company, National Association",33849,2119773,Active,5910044.0,IL,25 E 1st St,Hinsdale,60521,0.51,,,,,,,,,,
HomeStreet Bank,Active,HomeStreet Bank,HomeStreet*Bank*,Active FDIC-insured full-service bank.,True,1,HomeStreet Bank,32489,258771,Inactive,7604778.0,WA,"601 Union Street, Suite 2000",Seattle,98101,1.00,,,,,,,,,,
HomeTrust Bank,Active,HomeTrust Bank,HomeTrust*Bank*,Active FDIC-insured regional bank.,True,1,HomeTrust Bank,27677,212577,Active,4591360.0,NC,10 Woodfin St,Asheville,28801,1.00,,,,,,,,,,
Horizon Bank,Active,Horizon Bank,Horizon*Bank*,Active FDIC-insured regional bank in Indiana.,True,4,Horizon Bank,14327,663955,Active,512031.0,NE,10841 N 142nd St,Waverly,68462,1.00,Horizon Bank,4360,130541,Active,6691670.0,IN,515 Franklin St,Michigan City,46360,1.00
Horizon Farm Credit,Active,Horizon Farm Credit,Horizon*Farm*Credit*,Active farm credit entity.,False,0,,,,,,,,,,,,,,,,,,,,
Howard Bank,Active,Howard Bank,Howard*Bank*,Active FDIC-insured community bank in Maryland.,True,2,Howard Bank,57776,3282852,Inactive,2476127.0,MD,3301 Boston Street,Baltimore,21224,1.00,Howard Savings Bank,30919,951371,Inactive,9403.0,IL,1700 Milwaukee Avenue,Glenview,60025,0.73
Huntington Bancshares,Active,Huntington Bancshares,Huntington*Bancshares*,Active holding company for Huntington Bank.,False,0,,,,,,,,,,,,,,,,,,,,
Huntington Bank,Active,Huntington Bank,Huntington*Bank*,Active FDIC-insured regional bank.,True,10,Huntington Bank,22896,981060,Inactive,39275.0,CA,125 North First Avenue,Arcadia,91006,1.00,Huntington National Bank West Virginia,14289,774431,Inactive,2175487.0,WV,One Commerce Square,Charleston,25301,0.60
Huntington National Bank,Active,Huntington National Bank,Huntington*National*Bank*,Active FDIC-insured national bank.,True,3,Huntington National Bank,23758,861564,Inactive,89002.0,CA,16531 Bolsa Chica Street,Huntington Beach,92649,1.00,Huntington National Bank West Virginia,14289,774431,Inactive,2175487.0,WV,One Commerce Square,Charleston,25301,0.75
Industrial and Commercial Bank of China New York,Active,Industrial and Commercial Bank of China New York,Industrial*and*Commercial*Bank*of*China*New*York*,Input 'ICBC New York'—expanded ICBC to Industrial and Commercial Bank of China. Active branch.,False,0,,,,,,,,,,,,,,,,,,,,
Israel Discount Bank,Active,Israel Discount Bank,Israel*Discount*Bank*,Input 'IDB Bank'—expanded IDB to Israel Discount Bank. Active FDIC-insured bank.,True,1,Israel Discount Bank of New York,19977,320119,Active,14419007.0,NY,1114 Avenue Of The Americas,New York,10036,0.77,,,,,,,,,,
Republic Bank,Active,Republic Bank,Republic*Bank*,Input 'Republic Bank' cleaned (no legal suffixes). Active.,True,2,Republic Bank & Trust Company,23627,316840,Active,7009295.0,KY,601 W Market St,Louisville,40202,0.79,Republic Bank of Chicago,19333,671334,Active,2592953.0,IL,2221 Camden Ct,Oak Brook,60523,0.70
River Bank & Trust,Active,River Bank & Trust,River*Bank*&*Trust*,Input 'River Bank & Trust' cleaned. Active.,True,1,River Bank & Trust,58255,3437157,Active,3844583.0,AL,2611 Legends Dr,Prattville,36066,1.00,,,,,,,,,,
Robertson Banking,Active,Robertson Banking,Robertson*Banking*,Input 'Robertson Banking Co' cleaned (removed 'Co' suffix). Active.,True,1,Robertson Banking Company,39,430036,Active,475520.0,AL,216 N Walnut Ave,Demopolis,36732,1.00,,,,,,,,,,
Rockland Trust,Active,Rockland Trust,Rockland*Trust*,Input 'Rockland Trust' cleaned. Active.,True,1,Rockland Trust Company,9712,613008,Active,24993348.0,MA,288 Union St,Rockland,02370,1.00,,,,,,,,,,
Rocky Mountain Bank,Active,Rocky Mountain Bank,Rocky*Mountain*Bank*,Input 'Rocky Mountain Bank' cleaned. Active.,True,10,Rocky Mountain Bank,20310,663058,Inactive,697123.0,MT,2615 King Ave W,Billings,59102,1.00,"Rocky Mountain Bank, F.S.B.",29459,437576,Inactive,539316.0,WY,2020 Carey Ave,Cheyenne,82001,0.90
Royal Bank of Scotland [US],Acquired,Citizens Bank,(Royal*Bank*of*Scotland*[US]* OR Citizens*Bank*),Input 'Royal Bank of Scotland Plc [US]' cleaned (removed 'Plc' suffix). Acquired by Citizens Bank.,True,10,Citizens and Farmers Bank,10363,928421,Active,2686839.0,VA,415 14th Street,West Point,23181,0.24,Citizens State Bank,10474,356239,Active,447664.0,IL,102 W Main St,Lena,61048,0.27
S&T Bank,Active,S&T Bank,S&T*Bank*,Input 'S&T Bank' cleaned. Active.,True,1,S&T Bank,11124,936426,Active,9812431.0,PA,800 Philadelphia St,Indiana,15701,1.00,,,,,,,,,,
Sabadell Bank,Active,Sabadell Bank,Sabadell*Bank*,Input 'Sabadell Bank' cleaned. Active.,True,1,"Sabadell United Bank, National Association",21837,53033,Inactive,5730517.0,FL,1111 Brickell Avenue,Miami,33131,0.51,,,,,,,,,,
Salem Five Bank,Active,Salem Five Bank,Salem*Five*Bank*,Input 'Salem Five Bank' cleaned. Active.,True,1,Salem Five Cents Savings Bank,23296,618807,Active,8426346.0,MA,71 Washington St,Salem,01970,0.68,,,,,,,,,,
Santa Lucia National Bank,Active,Santa Lucia National Bank,Santa*Lucia*National*Bank*,Input 'Santa Lucia National Bank' cleaned (no listed suffixes removed). Active.,False,0,,,,,,,,,,,,,,,,,,,,
Santander Bank,Active,Santander Bank,Santander*Bank*,Input 'Santander Bank NA' cleaned (removed 'NA' suffix). Active.,True,2,"Santander Bank, N.A.",29950,722777,Active,97745560.0,DE,824 N Market St,Wilmington,19801,1.00,Santander National Bank,31162,822172,Inactive,1081813.0,PR,Corner Of Highway #2 & Road 167th,Bayamon,00619,0.82
Seacoast National Bank,Active,Seacoast National Bank,Seacoast*National*Bank*,Input 'Seacoast National Bank' cleaned. Active.,True,1,Seacoast National Bank,131,34537,Active,16666792.0,FL,815 S Colorado Ave,Stuart,34994,1.00,,,,,,,,,,
Security National Bank of Omaha,Active,Security National Bank of Omaha,Security*National*Bank*of*Omaha*,Input 'Security National Bank of Omaha' cleaned. Active.,True,1,Security National Bank of Omaha,19213,844053,Active,1796077.0,NE,1120 S 101st St,Omaha,68124,1.00,,,,,,,,,,
ServisFirst Bank,Active,ServisFirst Bank,ServisFirst*Bank*,Input 'ServisFirst Bank' cleaned. Active.,True,1,ServisFirst Bank,57993,3348888,Active,17582987.0,AL,2500 Woodcrest Pl,Birmingham,35209,1.00,,,,,,,,,,
Signature Bank,Failed,Flagstar Bank,(Signature*Bank* OR Flagstar*Bank*),"Input 'Signature Bank' cleaned. Failed 2023, acquired by Flagstar Bank (NYCB).",True,5,Signature Bank,58264,3437483,Active,1960495.0,IL,9450 Bryn Mawr Ave Ste 300,Rosemont,60018,1.00,"Flagstar Bank, National Association",32541,694904,Active,91593478.0,NY,102 Duffy Ave,Hicksville,11801,0.36
Silicon Valley Bank,Failed,First Citizens Bank,(Silicon*Valley*Bank* OR First*Citizens*Bank*),"Input 'Silicon Valley Bank' cleaned. Failed 2023, acquired by First Citizens Bank.",True,7,First-Citizens Bank & Trust Company,11063,491224,Active,233167000.0,NC,239 Fayetteville St,Raleigh,27601,0.41,First Citizens Community Bank,7593,978118,Active,3051688.0,PA,15 S Main St,Mansfield,16933,0.44
Simmons Bank,Active,Simmons Bank,Simmons*Bank*,Input 'Simmons Bank' cleaned. Active.,True,9,Simmons Bank,3890,663245,Active,24164419.0,AR,501 S Main St,Pine Bluff,71601,1.00,Simmons First Bank of Northeast Arkansas,16715,471749,Inactive,361142.0,AR,1720 South Caraway Road,Jonesboro,72401,0.46
SmartBank,Active,SmartBank,SmartBank*,Input 'SmartBank' cleaned. Active.,True,1,SmartBank,58463,3532641,Active,5777824.0,TN,2430 Teaster Ln,Pigeon Forge,37863,1.00,,,,,,,,,,
Societe Generale Bank & Trust [SGBT],Active,Societe Generale Bank & Trust [SGBT],Societe*Generale*Bank*&*Trust*[SGBT]*,Input 'Societe Generale Bank & Trust [SGBT]' cleaned. Active.,False,0,,,,,,,,,,,,,,,,,,,,
Solera Bank,Acquired,Independent Bank (Texas),(Solera*Bank* OR Independent*Bank*Texas*),Input 'Solera Bank' cleaned. Acquired by Independent Bank (Texas).,True,2,Solera National Bank,58534,3397233,Active,1168621.0,CO,319 S Sheridan Blvd,Lakewood,80226,0.79,Independent Bank of Texas,57476,3129902,Inactive,114356.0,TX,4300 North Belt Line Road,Irving,75038,0.33
South State Bank,Active,South State Bank,South*State*Bank*,"Correct name, active regional bank in Southeast US.",True,2,South Central State Bank,16707,74056,Active,186057.0,NE,673 Broad St,Campbell,68932,0.80,"SouthState Bank, National Association",33555,1929247,Active,66027921.0,FL,1101 1st St S,Winter Haven,33880,0.61
SouthPoint Bank,Active,SouthPoint Bank,SouthPoint*Bank*,"Correct name, active community bank in Alabama.",True,1,SouthPoint Bank,58088,3386536,Active,1596315.0,AL,3501 Grandview Pkwy,Birmingham,35243,1.00,,,,,,,,,,
SouthState Bank,Active,SouthState Bank,SouthState*Bank*,"Input cleaned (removed NA suffix), active regional bank.",True,2,Southstate Bank for Savings,90170,702500,Inactive,285923.0,MA,1 North Main Street,Brockton,02301,0.71,"SouthState Bank, National Association",33555,1929247,Active,66027921.0,FL,1101 1st St S,Winter Haven,33880,0.62
Southern Bancorp Bank,Active,Southern Bancorp Bank,Southern*Bancorp*Bank*,"Correct name, active community development bank in Arkansas.",True,5,Southern Bancorp Bank,1528,852544,Active,2749325.0,AR,601 Main St,Arkadelphia,71923,1.00,"Southern Bancorp Bank of Blytheville, National Association",15529,866943,Inactive,253085.0,AR,120 South Second Street,Blytheville,72315,0.56
Southside Bank,Active,Southside Bank,Southside*Bank*,"Correct name, active regional bank in Texas.",True,2,Southside Bank,18297,361167,Active,8375996.0,TX,1201 S Beckham Ave,Tyler,75701,1.00,Southside National Bank,23633,887966,Inactive,12040.0,TX,2600 South Street,Nacogdoches,75961,0.82
Southwest Bank,Active,Southwest Bank,Southwest*Bank*,"Correct name, active regional bank in Missouri.",True,7,Southwest Bank,16652,561864,Active,725845.0,TX,4800 E 42nd St,Odessa,79762,1.00,Southwestern National Bank,34319,2625724,Active,1284728.0,TX,6901 Corporate Dr,Houston,77036,0.76
Standard Chartered Bank New York,Active,Standard Chartered Bank New York,Standard*Chartered*Bank*New*York*,"Correct name, active international bank branch in New York.",False,0,,,,,,,,,,,,,,,,,,,,
State Street Bank,Active,State Street Bank,State*Street*Bank*,"Correct name, active global financial institution.",True,2,State Street Bank and Trust Company,14,35301,Active,366079000.0,MA,One Congress Street,Boston,02114,0.77,State Street Bank and Trust Company,14857,352745,Active,340506.0,IL,801 State St,Quincy,62301,0.77
State Street Bank & Trust,Active,State Street Bank & Trust,State*Street*Bank*&*Trust*,"Correct name, active trust subsidiary of State Street Corp.",True,2,State Street Bank and Trust Company,14,35301,Active,366079000.0,MA,One Congress Street,Boston,02114,0.94,State Street Bank and Trust Company,14857,352745,Active,340506.0,IL,801 State St,Quincy,62301,0.94
State Street Bank & Trust,Active,State Street Bank & Trust,State*Street*Bank*&*Trust*,"Input cleaned (removed Co suffix), active trust subsidiary.",True,2,State Street Bank and Trust Company,14,35301,Active,366079000.0,MA,One Congress Street,Boston,02114,0.94,State Street Bank and Trust Company,14857,352745,Active,340506.0,IL,801 State St,Quincy,62301,0.94
Sterling Bank,Active,Sterling Bank,Sterling*Bank*,"Correct name, active regional bank in Texas.",True,4,Sterling Bank,57813,3284490,Active,1507315.0,MO,1100 Sterling Dr,Poplar Bluff,63901,1.00,"Sterling Federal Bank, F.S.B.",27664,867070,Active,515062.0,IL,110 E 4th St,Sterling,61081,0.68
Sterling National Bank,Active,Sterling National Bank,Sterling*National*Bank*,"Correct name, active regional bank in New York.",True,2,Sterling National Bank,30337,125471,Inactive,29558731.0,NY,2 Blue Hill Plz,Pearl River,10965,1.00,Sterling National Bank,7220,64619,Inactive,2751335.0,NY,650 Fifth Avenue,New York,10022,1.00
Stifel Bank & Trust,Active,Stifel Bank & Trust,Stifel*Bank*&*Trust*,"Correct name, active investment bank subsidiary of Stifel.",True,3,Stifel Bank and Trust,57311,3076248,Active,19672298.0,MO,501 N Broadway,Saint Louis,63102,0.92,"Stifel Trust Company, National Association",33785,2713920,Active,926168.0,MO,501 N Broadway,Saint Louis,63102,0.50
Stride Bank,Active,Stride Bank,Stride*Bank*,"Correct name (formerly Bank of Internet USA), active online bank.",True,1,"Stride Bank, National Association",4091,278555,Active,3840708.0,OK,324 W Broadway Ave,Enid,73701,0.55,,,,,,,,,,
Summit Community Bank,Active,Summit Community Bank,Summit*Community*Bank*,"Correct name, active community bank in West Virginia.",True,5,"Summit Community Bank, Inc",34102,2372774,Inactive,4633672.0,WV,310 N Main St,Moorefield,26836,1.00,"Summit Community Bank, National Association",25104,463557,Inactive,440851.0,TX,3859 Camp Bowie Boulevard,Fort Worth,76107,0.67
Sun West Bank,Active,Sun West Bank,Sun*West*Bank*,"Correct name, active regional bank in California.",True,10,Sunwest Bank,20164,140362,Active,3771769.0,UT,10011 S Centennial Pkwy,Sandy,84070,0.96,"SUNWEST Bank of Albuquerque, National Association",2234,404756,Inactive,3221585.0,NM,"303 Roma Avenue, N.W.",Albuquerque,87103,0.41
SunTrust Bank,Acquired,Truist Bank,(SunTrust*Bank* OR Truist*),"Merged with BB&T to form Truist Bank (2019), acquired by Truist.",True,11,Truist Bank,9846,852320,Active,535540000.0,NC,214 N Tryon St,Charlotte,28202,0.83,"SunTrust Bank, South Florida, National Association",17429,106939,Inactive,5160444.0,FL,501 East Las Olas Boulevard,Fort Lauderdale,33301,0.45
Sunflower Bank,Active,Sunflower Bank,Sunflower*Bank*,"Correct name, active regional bank in Kansas.",True,1,"Sunflower Bank, National Association",4767,474759,Active,8482238.0,TX,8117 Preston Rd,Dallas,75225,0.61,,,,,,,,,,
Susser Bank,Active,Susser Bank,Susser*Bank*,"Correct name, active community bank in Texas.",True,1,Susser Bank,34885,965789,Active,2727442.0,TX,4020 Maple Ave,Dallas,75219,1.00,,,,,,,,,,
Svenska Handelsbanken New York,Active,Svenska Handelsbanken New York,Svenska*Handelsbanken*New*York*,"Input cleaned (removed AB and Branch suffixes), active Swedish bank branch.",False,0,,,,,,,,,,,,,,,,,,,,
KeyBank,Active,KeyBank,Key*Bank*,"Input 'Keybank NA' cleaned (removed NA suffix), active regional bank.",True,5,KeySavings Bank,29691,208972,Active,125950.0,WI,811 E Grand Ave,Wisconsin Rapids,54494,0.64,KeyBank National Association,17534,280110,Active,184694965.0,OH,127 Public Sq,Cleveland,44114,0.44
LCA Bank,Active,LCA Bank,LCA*Bank*,"Input 'LCA Bank Corp' cleaned (removed Corp suffix), active community bank.",True,1,The Calcasieu-Marine National Bank of Lake Charles,14610,227535,Inactive,778214.0,LA,1 Lakeshore Drive,Lake Charles,70629,0.30,,,,,,,,,,
Lake City Bank,Active,Lake City Bank,Lake*City*Bank*,"Input 'Lake City Bank' is correct, active Indiana community bank.",True,4,Lake City Bank,13102,874845,Active,6894415.0,IN,202 E Center St,Warsaw,46580,1.00,Lake City Federal Bank,29049,890078,Inactive,73772.0,MN,201 E Marion St,Lake City,55041,0.78
